biolab_index,rdkit,standard_value,Binary,assay_type,not_sure
2071109810384652470,[C-]#[N+]c1ccc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1,6.85387196432176,0,binding,1
6141414999340304130,Cn1ccc(S(=O)(=O)NCc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)n1,6.92081875395237,0,binding,1
8690822733013637663,[C-]#[N+]c1cccc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)c1,7.11918640771921,1,binding,1
4252894206803142079,COc1ccc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)cc1,6.795880017344071,0,binding,1
-7642713759845299979,O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)C1CCC1,6.15490195998574,0,binding,1
3552736886813049008,COC(=O)c1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,5.585026652029178,0,binding,0
7072290585464392596,O=C(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)Nc1ccccc1F,6.508638306165731,0,binding,1
3185184902227783285,O=C(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccco1,5.95860731484177,0,binding,0
6053710959194338348,O=S(=O)(NC1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1)c1ccc2c(c1)OCCO2,5.69897000433602,0,binding,0
87517589585273519,c1ccc(-c2nnc(C3CCN(Cc4ccc(-c5nnc6n5-c5cccnc5Nc5ccccc5-6)cc4)CC3)o2)cc1,6.180456064458129,0,binding,1
-2556865074467552450,CC(C)(C)C(=O)Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,6.3767507096020974,0,binding,1
-1468974989511659137,O=C1NCN(c2ccccc2)C12CCN(Cc1ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc1)CC2,6.02227639471115,0,binding,1
4197621760399943199,O=S(=O)(NCCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccccc1,5.23657200643706,0,binding,0
791239111260599829,COCC(=O)Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,5.82390874094432,0,binding,0
-1222886470289732498,c1ccc(CN2CCN(Cc3ccc(-c4nnc5n4-c4cccnc4Nc4ccccc4-5)cc3)CC2)cc1,5.27572413039921,0,binding,0
2723661843260691591,O=C(c1ccccc1F)N1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,6.34678748622466,0,binding,1
7905369186489847258,OCC1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,5.08092190762393,0,binding,0
7667035556772160032,CC(C)(N)c1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,6.46852108295774,0,binding,1
5390358644217104484,Nc1cc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)ccn1,4.88605664769316,0,binding,0
-8044749228780387158,CC(C)CC(=O)Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,6.15490195998574,0,binding,1
-1191890586591859812,Fc1ccccc1N1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,5.55284196865778,0,binding,0
-8183902750869543232,Cc1cccc2c1Nc1ncccc1-n1c(-c3ccc(C4(N)CCC4)cc3)nnc1-2,5.85387196432176,0,binding,0
-1317805596461836,c1ccc(-c2nnc3n2-c2ccccc2Nc2ccccc2-3)cc1,5.7212463990471685,0,binding,0
7871259968017336993,O=C(c1ccccn1)N1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,5.3767507096020974,0,binding,0
-6041178312550952812,Cc1ccc(NC(=O)NC2CCN(Cc3ccc(-c4nnc5n4-c4cccnc4Nc4ccccc4-5)cc3)CC2)cc1,6.3565473235138095,0,binding,1
-5759318063795929582,CS(=O)(=O)OCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,6.30980391997149,0,binding,1
-3970847142025130866,CN(C)c1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,5.795880017344071,0,binding,0
