biolab_index,rdkit,standard_value,Binary,assay_type,not_sure
-7195748586473088151,COc1c(NC(=O)NC2Cc3c(F)cccc3C2O)cc(C(C)(C)C)cc1C(O)C(F)(F)F,7.455931955649719,1,binding,1
3950852571965775896,COc1c(NC(=O)NC2Cc3ccccc3C2O)cc(C2(C)CCOCC2)cc1C(O)C(F)(F)F,7.8860566476931595,1,binding,0
6971077657440904351,CCC(C)(C)c1cc(NC(=O)NC2Cc3ccccc3C2O)c(OC)c(C(O)C(F)(F)F)c1,7.53760200210104,1,binding,0
989482879987661891,COc1c(NC(=O)NC2Cc3c(F)cccc3C2O)cc(N2CCOCC2)cc1C(O)C(F)(F)F,7.7958800173440705,1,binding,0
-5606816094831050863,COc1cccc2c1CC(NC(=O)Nc1cc(C(C)(C)C)cc(C(O)C(F)(F)F)c1OC)C2O,7.619788758288389,1,binding,0
7292514674377022640,COc1c(CO)cc(C(C)(C)C)cc1NC(=O)NC1Cc2c(F)cccc2C1O,8.52287874528034,1,binding,0
4705470641972236260,COc1c(NC(=O)NC2Cc3ccccc3C2O)cc(N2CCCC2)cc1C(O)C(F)(F)F,7.29242982390206,1,binding,1
-7744787377443720079,C#Cc1cccc(Nc2nccc3c(Nc4ncccc4-c4cc(NC)ncn4)c(C)ccc23)c1,6.34678748622466,0,binding,1
6661111251794190215,CO[C@H]1CC[C@@H](C(=O)Nc2cc(-c3ccnc(Nc4ccc(F)cc4)c3)ccn2)CC1,7.397940008672039,1,binding,1
1334199890572197597,COC(=O)CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)c3ccccc3)c2)[nH]1,7.44369749923271,1,binding,1
-1045894259476936390,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NCc3ccccc3)c2)[nH]1,6.85698519974591,0,binding,1
316562099673230468,Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1cccc(CN)c1,7.18708664335714,1,binding,1
-6405228106846539688,COc1cc(-c2ccccc2Cl)c2c(c1)N(c1c(Cl)cccc1Cl)C(=O)C(O)C2,8.04575749056067,1,binding,0
-3055920341526997444,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NCc3cccc4ccccc34)c2)[nH]1,6.7670038896078495,0,binding,1
