"","A","P","N","margin"
"1","CC1(c2nnc3ccc(-c4ocnc4-c4cc(F)c(F)cc4F)cn23)CC1","O=c1c(O)cc2c(-c3ccccc3Cl)cc(O)cc2n1-c1c(Cl)cccc1Cl","CCCNc1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12","margin = 0.45"
"2","CC1(c2nnc3ccc(-c4ocnc4-c4cc(F)c(F)cc4F)cn23)CC1","CCNC(=O)c1cn2ncnc(Nc3cc(C(=O)Nc4ncco4)ccc3C)c2c1C","FC(F)c1nnc2ccc(-c3ocnc3-c3ccccc3)cn12","margin = 0.45"
"3","CC1(c2nnc3ccc(-c4ocnc4-c4cc(F)c(F)cc4F)cn23)CC1","O=C1NCc2nc(Sc3c(Cl)cccc3Cl)ccc2N1c1c(Cl)cccc1Cl","Nc1c(C(=O)c2ccccc2)cc[n+]([O-])c1-c1ccc(Cl)cc1","random"
"4","CC1(c2nnc3ccc(-c4ocnc4-c4cc(F)c(F)cc4F)cn23)CC1","CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cccc([N+](=O)[O-])c2)n1","COC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(O)cc1","random"
"5","CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc([N+](=O)[O-])c2)n1","COCCNC(=O)c1ccc(-c2c3nccc(-c4ccc(F)cc4F)c3cc[n+]2[O-])c(C)c1","CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cccc([N+](=O)[O-])c2)n1","margin = 0.35"
"6","CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc([N+](=O)[O-])c2)n1","O=C(O)Cn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21","CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc(CNC(=O)Cn3ccccc3=O)c2)n1","margin = 0.35"
"7","CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc([N+](=O)[O-])c2)n1","C[C@H](Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2Cc2cccc(C#N)c2)n1)c1ccccc1","CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccccc2)n1","margin = 0.35"
"8","CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc([N+](=O)[O-])c2)n1","CC(C)COc1ccccc1-c1cc(-c2ccc(Cl)cc2)[nH]c1-c1ccncc1","Cc1ccn(CC(=O)NCc2cccc(-n3nc(C(C)(C)C)cc3NC(=O)Nc3ccccc3)c2)n1","margin = 0.35"
"9","CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc([N+](=O)[O-])c2)n1","OCC(O)CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1","CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc(CNC(=O)CNC(=O)c3ccco3)c2)n1","margin = 0.35"
"10","CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc([N+](=O)[O-])c2)n1","CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1CCC(=O)O","Cc1ccc(NC(=O)c2ccccc2)cc1-c1ccc(C(=O)NCC2CC2)cc1","random"
