"","standard_value","Binary","assay_type","not_sure","rdkit"
"1",8.63827216398241,1,"binding",0,"CC1(c2nnc3ccc(-c4ocnc4-c4cc(F)c(F)cc4F)cn23)CC1"
"2",6.8287886595889,0,"binding",1,"CC(C)(C)c1cc(NC(=O)Nc2ccccc2)n(-c2cccc([N+](=O)[O-])c2)n1"
"3",8.20065945054642,1,"binding",0,"Cc1ccc(C(=O)NC2CC2)cc1Oc1nnc(C)c2c1cnn2-c1ccc(F)cc1F"
"4",6.61978875828839,0,"binding",1,"CCCC(=O)Nc1ccc(C)c(-c2ccc(C(=O)NCC3CC3)cc2)c1"
"5",6.85387196432176,0,"binding",1,"CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)=O)c2)n1CCCCO"
"6",6.63827216398241,0,"binding",1,"O=C1NCc2nc(Sc3ccc(F)cc3)ccc2N1c1c(Cl)cc(C(F)(F)F)cc1Cl"
"7",7.09691001300806,1,"binding",1,"Clc1ccc(-c2cc(-c3cccc(Br)c3)c(-c3ccncc3)[nH]2)cc1"
"8",6.60032627851896,0,"binding",1,"Cc1ccc(F)c(-c2[nH]c(CNc3cccc(C(N)=O)c3)nc2-c2ccc3ncnn3c2)n1"
"9",7.33724216831843,1,"binding",1,"O=C(Cc1ccccc1)Nc1cc(-c2c(-c3ccc(F)cc3)nc3n2CCS3)ccn1"
"10",8.72124639904717,1,"binding",0,"CCn1c(=O)c(-c2cc(C(=O)NC3CC3)cc(F)c2C)cc2nnc(-c3c(F)cccc3F)n21"
"11",4.89965666811201,0,"binding",0,"O=c1ncn2nc(Sc3ccccc3)ccc2c1-c1ccc(Cl)cc1Cl"
"12",6.92445303860747,0,"binding",1,"CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NCc3ccncc3)c2)[nH]1"
"13",5.68824613894425,0,"binding",0,"C=Cc1ccccc1NCc1nc(-c2ccc3ncnn3c2)c(-c2cccc(C)n2)[nH]1"
"14",7.49485002168009,1,"binding",1,"O=C(Nc1cc(Nc2ccc3c(c2)CCCCC3=O)ccc1F)c1ccoc1"
"15",7.96657624451305,1,"binding",0,"O=C(Cc1ccccc1Cl)Nc1onc(-c2ccc(Cl)cc2)c1-c1ccncn1"
